"PUBID","KEY!SEX","KEY!RACE_ETHNICITY","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","YEMP_OCCODE-2002.13","YHEA-1320~000004","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","YEMP_OCCODE-2002.10","YEMP_OCCODE-2002.11","YEMP_OCCODE-2002.12","CV_CHILD_BIRTH_DATE.01~Y","CV_CHILD_BIRTH_DATE.02~Y","CV_CHILD_BIRTH_DATE.03~Y","CV_CHILD_BIRTH_DATE.04~Y","CV_CHILD_BIRTH_DATE.05~Y","CV_CHILD_BIRTH_DATE.06~Y","CV_CHILD_BIRTH_DATE.07~Y","CV_CHILD_BIRTH_DATE.08~Y","CV_CHILD_BIRTH_DATE.09~Y","CV_CHILD_BIRTH_DATE.10~Y","CV_CHILD_BIRTH_DATE.11~Y","CV_CHILD_BIRTH_DATE.12~Y","CV_CHILD_BIRTH_DATE.13~Y","CV_CHILD_BIRTH_DATE.14~Y","CV_CHILD_BIRTH_DATE.15~Y"
2216,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2217,2,4,29,-3,2,0,1,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,44716,3,1,3,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,62184,3,1,3,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1998,2002,2009,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2218,1,4,26,30750,1,0,3,0,310,4020,4020,-4,-4,-4,-4,-4,-4,28,50000,2,0,3,3,20,4040,-4,-4,-4,-4,-4,-4,-4,28,77750,2,0,3,1,20,4040,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,140000,2,0,3,0,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2017,2020,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2219,2,4,29,30000,2,0,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,28800,2,0,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,37500,2,0,2,7,4700,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-3,2,0,3,42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2220,1,4,25,-3,2,0,2,0,4720,4760,-4,-4,-4,-4,-4,-4,-4,26,17500,2,0,2,0,9610,4720,-4,-4,-4,-4,-4,-4,-4,27,-3,2,0,2,0,1110,9990,9610,-4,-4,-4,-4,-4,-4,-4,-4,31,-3,2,0,3,0,1110,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2221,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2222,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2223,2,4,27,76005,5,0,2,7,4720,5240,-4,-4,-4,-4,-4,-4,-4,29,122020,4,0,2,1,5840,4720,-4,-4,-4,-4,-4,-4,-4,29,33000,4,0,2,4,5840,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2224,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2225,1,4,26,115000,3,0,2,7,7200,7200,-4,-4,-4,-4,-4,-4,-4,27,112500,6,1,2,7,7200,7200,-4,-4,-4,-4,-4,-4,-4,28,98000,6,1,2,5,7200,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2226,1,4,26,31484,5,3,2,7,5620,5120,-4,-4,-4,-4,-4,-4,-4,27,20500,2,0,2,40,5620,-4,-4,-4,-4,-4,-4,-4,-4,28,-3,2,0,2,10,5620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,48200,2,0,2,5,5620,9620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2002,2008,2008,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2227,1,4,25,-3,3,1,2,7,5610,-4,-4,-4,-4,-4,-4,-4,-4,26,12250,5,1,2,6,6420,-4,-4,-4,-4,-4,-4,-4,-4,27,-3,6,1,2,7,9620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,-3,5,2,2,28,5620,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2009,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2228,1,4,25,18000,1,0,2,4,5850,9130,-4,-4,-4,-4,-4,-4,-4,26,24173,1,0,2,0,5850,9130,-4,-4,-4,-4,-4,-4,-4,27,21000,1,0,2,0,5850,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,22000,1,0,2,0,8140,5850,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2229,1,4,26,114000,6,1,2,7,4210,4110,-4,-4,-4,-4,-4,-4,-4,27,90000,3,1,2,7,4210,-4,-4,-4,-4,-4,-4,-4,-4,28,79000,3,1,2,7,4210,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,71880,4,2,2,7,4210,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2006,2012,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2230,1,4,26,11000,1,0,2,3,4110,-4,-4,-4,-4,-4,-4,-4,-4,27,17000,1,0,2,7,6330,4110,-4,-4,-4,-4,-4,-4,-4,28,32000,2,0,2,0,4010,310,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2006,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2231,2,2,26,-3,1,0,2,7,2010,2000,-4,-4,-4,-4,-4,-4,-4,27,32600,1,0,2,4,2010,2600,-4,-4,-4,-4,-4,-4,-4,28,35020,1,0,2,7,2010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,131000,3,1,3,2,5250,420,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2232,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,29,48094,4,2,2,0,4760,-4,-4,-4,-4,-4,-4,-4,-4,30,43000,4,2,2,20,4760,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2001,2006,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2233,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2234,1,4,28,64648,3,1,2,7,4250,4250,-4,-4,-4,-4,-4,-4,-4,29,-3,3,1,2,7,4250,-4,-4,-4,-4,-4,-4,-4,-4,30,-3,3,1,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,-3,3,1,2,1,9130,9130,7020,-4,-4,-4,-4,-4,-4,-4,-4,-4,2009,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2235,1,4,25,17000,1,0,3,0,4760,-4,-4,-4,-4,-4,-4,-4,-4,26,14000,1,0,3,0,4760,-4,-4,-4,-4,-4,-4,-4,-4,27,18000,1,0,3,7,4760,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,37000,4,-3,3,0,4760,4760,3920,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2236,2,4,28,56200,2,0,3,2,3540,4620,-4,-4,-4,-4,-4,-4,-4,29,125000,2,0,3,0,3540,4620,-4,-4,-4,-4,-4,-4,-4,30,126000,3,1,3,0,3540,4620,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,107843,3,1,2,0,4620,3540,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2011,2016,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2237,1,4,26,-3,1,0,3,7,4700,-4,-4,-4,-4,-4,-4,-4,-4,27,-3,2,0,3,7,4700,4610,-4,-4,-4,-4,-4,-4,-4,28,29000,2,0,2,2,4640,5110,4700,-4,-4,-4,-4,-4,-4,-4,1,32,40000,1,0,3,2,2000,3240,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2238,1,4,28,78000,5,3,2,0,8000,-4,-4,-4,-4,-4,-4,-4,-4,29,84900,5,3,2,7,8000,-4,-4,-4,-4,-4,-4,-4,-4,30,69657,6,4,2,7,7310,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,70000,1,0,2,6,7310,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2005,2007,2009,2011,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2239,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2240,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2241,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2242,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2243,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,27,53879,5,3,3,7,5000,-4,-4,-4,-4,-4,-4,-4,-4,28,48864,5,3,3,14,5000,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,33,-3,6,4,3,7,5000,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2244,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,33,0,1,0,2,4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2245,2,4,25,64000,6,1,2,7,5930,-4,-4,-4,-4,-4,-4,-4,-4,26,52500,3,0,2,7,2330,4350,5930,-4,-4,-4,-4,-4,-4,27,86750,2,0,2,7,4350,2330,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,51500,2,0,2,7,3240,4350,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2021,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2246,1,4,28,80850,3,0,2,7,8800,4250,-4,-4,-4,-4,-4,-4,-4,29,158306,3,0,2,3,8800,4250,-4,-4,-4,-4,-4,-4,-4,30,164500,3,0,2,0,8800,4250,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,92000,4,2,2,0,8800,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2012,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2247,2,2,27,83000,2,0,2,0,5240,4760,-4,-4,-4,-4,-4,-4,-4,28,64760,3,0,2,1,5240,3630,-4,-4,-4,-4,-4,-4,-4,29,67297,3,0,2,3,5240,3630,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,40000,4,2,2,2,3630,3630,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2012,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2248,2,4,24,-3,2,0,2,2,5240,-4,-4,-4,-4,-4,-4,-4,-4,26,56000,2,0,2,5,120,-4,-4,-4,-4,-4,-4,-4,-4,26,67750,2,0,2,2,120,120,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,108000,2,0,3,0,120,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2249,2,4,29,95000,3,1,2,7,5120,-4,-4,-4,-4,-4,-4,-4,-4,30,100000,3,1,2,7,5120,-4,-4,-4,-4,-4,-4,-4,-4,31,102000,3,1,2,1,5120,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,118000,3,1,2,7,5120,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2250,1,4,28,90050,2,0,2,0,4850,-4,-4,-4,-4,-4,-4,-4,-4,29,137700,2,0,2,0,4850,-4,-4,-4,-4,-4,-4,-4,-4,29,146600,2,0,2,0,4760,4850,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,207550,4,2,2,0,4760,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2012,2013,2016,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2251,1,4,25,20000,3,0,3,7,6420,5610,-4,-4,-4,-4,-4,-4,-4,26,70250,2,0,2,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,27,67000,2,0,2,5,6420,4720,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,31371,4,2,2,7,4250,6420,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2013,2020,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2252,1,4,28,35015,1,0,3,7,5700,2700,-4,-4,-4,-4,-4,-4,-4,29,28400,2,0,2,0,1040,2700,2700,5700,-4,-4,-4,-4,-4,30,28140,1,0,2,0,2850,1040,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,21750,2,0,2,1,1110,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2253,1,4,27,80400,2,0,3,3,2850,2850,-4,-4,-4,-4,-4,-4,-4,28,91250,1,0,3,1,2850,2850,2710,-4,-4,-4,-4,-4,-4,29,85350,1,0,3,2,2710,2850,2710,-4,-4,-4,-4,-4,-4,-4,-4,33,85450,2,0,3,2,2710,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2254,1,4,28,21824,4,2,2,6,7610,-4,-4,-4,-4,-4,-4,-4,-4,29,37386,7,3,2,0,7610,7360,-4,-4,-4,-4,-4,-4,-4,30,142661,7,3,2,4,7610,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,55000,5,2,2,7,7610,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2007,2010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2255,1,4,28,53000,2,0,2,5,4700,6440,-4,-4,-4,-4,-4,-4,-4,29,-3,2,0,2,3,50,6440,-4,-4,-4,-4,-4,-4,-4,30,110000,3,1,2,3,4700,4250,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,145000,4,2,2,5,4700,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2011,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2256,1,4,26,-3,4,1,2,12,5240,4020,-4,-4,-4,-4,-4,-4,-4,27,29500,6,-3,2,7,4000,5240,-4,-4,-4,-4,-4,-4,-4,28,-3,5,2,2,7,4020,4020,4000,-4,-4,-4,-4,-4,-4,-4,-4,32,22000,1,0,2,0,8710,4000,8960,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2257,1,4,29,8500,1,0,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,1750,1,0,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,19250,1,0,3,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,35,10300,4,2,2,1,8960,8960,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2016,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2258,2,4,25,-3,3,0,2,0,800,-4,-4,-4,-4,-4,-4,-4,-4,26,168750,3,0,2,0,800,-4,-4,-4,-4,-4,-4,-4,-4,27,-3,3,0,2,7,800,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,102750,2,0,2,0,800,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2018,2020,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2260,2,4,24,55250,4,2,2,4,3600,4760,4040,-4,-4,-4,-4,-4,-4,25,55000,4,2,2,4,3600,-4,-4,-4,-4,-4,-4,-4,-4,26,57500,4,2,2,7,4110,3600,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,50000,5,3,2,3,120,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2004,2007,2013,2019,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2261,1,4,29,40000,4,1,3,7,3630,4760,8850,-4,-4,-4,-4,-4,-4,30,-3,1,0,2,30,3630,4760,-4,-4,-4,-4,-4,-4,-4,31,58500,5,1,2,2,8300,-3,3630,4760,-4,-4,-4,-4,-4,-4,-4,35,-3,4,0,2,3,9600,-3,8300,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2262,1,4,26,96159,3,0,2,0,-3,3400,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,28,128741,1,0,3,1,-3,3400,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,36400,1,0,2,21,9130,9130,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2263,2,4,27,112000,6,1,2,7,2720,2720,5240,-4,-4,-4,-4,-4,-4,28,81011,5,2,2,4,2720,2720,4610,-4,-4,-4,-4,-4,-4,29,43250,5,2,2,7,2720,2720,4610,3650,-4,-4,-4,-4,-4,-4,-4,33,71000,6,3,2,7,2720,2720,4610,4120,-4,-4,-4,-4,-4,-4,-4,-4,2004,2010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2264,1,4,25,-3,7,0,3,2,9620,-4,-4,-4,-4,-4,-4,-4,-4,27,37000,4,0,2,2,9620,-4,-4,-4,-4,-4,-4,-4,-4,27,37500,4,0,2,7,9620,7200,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-3,1,0,3,3,7200,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2014,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2265,2,4,27,-3,5,1,2,4,3920,-4,-4,-4,-4,-4,-4,-4,-4,28,-3,1,0,2,1,3920,-4,-4,-4,-4,-4,-4,-4,-4,29,19731,3,1,2,2,3920,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,-3,3,1,2,1,3920,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2004,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2266,1,4,25,21000,4,1,2,2,4010,-4,-4,-4,-4,-4,-4,-4,-4,26,21000,2,0,2,12,4010,-4,-4,-4,-4,-4,-4,-4,-4,27,22261,2,0,2,3,4010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,22005,3,0,2,10,4010,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2267,1,4,26,-3,4,2,2,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,27,-3,4,2,2,1,5610,-4,-4,-4,-4,-4,-4,-4,-4,28,51933,4,2,2,5,5610,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,43000,4,2,2,7,6220,5610,5610,-4,-4,-4,-4,-4,-4,-4,-4,-4,2002,2008,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2268,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2269,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2270,2,4,28,67000,2,0,2,2,2330,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,29,68000,2,0,2,3,2320,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,33,104000,4,2,2,0,2320,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2014,2014,2019,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
